run,iteration,mae,rmse
1,2,132514444.84731561,278336645.30126333
1,3,181723812.5623231,341732934.5967138
1,4,127989659.92048569,224358536.53030163
1,5,85608797.44403,206306355.77335584
2,2,113605077.59514861,255483741.9998338
2,3,188853100.45898476,346746176.9763932
2,4,140359430.6110159,242631137.26191527
2,5,72821435.37114732,179517487.43919405
3,2,117446661.73411249,266678622.0515042
3,3,173344541.7244777,327096569.75487965
3,4,175143015.67818162,282962076.2258364
3,5,89219725.6301152,210804883.43928784
4,2,123023727.97090004,259896988.24711967
4,3,165646120.474841,326934036.4339428
4,4,135284453.89658853,238197316.26300272
4,5,73399330.8223917,184338862.60701194
5,2,129769420.43590099,287638071.89747995
5,3,179801521.20203424,337712820.94346833
5,4,146700421.92493254,262544053.87980798
5,5,72547358.95703165,177472554.6145463
6,2,125729697.36011744,272293282.36138487
6,3,184637409.75742817,336645471.4741178
6,4,128015835.30266266,227060162.0357298
6,5,80140812.52425908,200401823.7810909
7,2,125876288.75148417,271882195.79546356
7,3,173332527.68004072,327751143.9489626
7,4,131724908.05075896,237078583.3997607
7,5,75152373.624399,184602096.3873644
8,2,124776102.59533334,274844467.7598981
8,3,181049653.81346443,337773691.31068796
8,4,142126028.42503637,252377810.55711263
8,5,66931884.60329031,173342584.28376076
9,2,126084695.93392058,272389621.8443904
9,3,156289038.11668435,312479579.97995067
9,4,138285611.6478701,251680068.70207486
9,5,86175969.13423514,197720515.19370604
10,2,116099031.96995579,250951011.79141685
10,3,184013298.85969484,348603224.6295762
10,4,119552113.02715792,217573994.45387778
10,5,82030105.18375419,195823528.94930732
